master_incident_number,problem,priority_number,year,time_phonepickup,cfs_address,cfs_location_name,call_disposition,short_school_name,cde_school_name,school_type_level,lowest_grade,highest_grade,school_address
DPD-18-0774876,Nature Unknown,2,2018,11/13/2018 17:11,951 N Elati St,,No Police Needed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0813209,Nature Unknown,2,2018,12/1/2018 12:33,951 N Elati St,SCH West High School - PK LOT,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0098525,Fight,2,2019,2/13/2019 10:19,951 N Elati St,SCH WEST EARLY COLLEGE HS - DPS,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0116377,Fight,2,2019,2/21/2019 14:08,951 N Elati St,SCH West High School - Box 4105,File Only,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0118298,Disturbance Family,2,2019,2/22/2019 10:20,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0132199,Fight,2,2019,2/28/2019 14:41,951 N Elati St,SCH WEST EARLY COLLEGE MS - DPS,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0178090,Assault  IP-JO,2,2019,3/21/2019 8:05,951 N Elati St,SCH WEST LEADERSHIP ACADEMY HS - DPS,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0180652,Fight,2,2019,3/22/2019 10:47,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0206337,Mental Health,2,2019,4/3/2019 9:11,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0218393,Mental Health,2,2019,4/8/2019 9:24,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0234020,MPER - Endangered/WalkAway/Esc,2,2019,4/15/2019 8:40,951 N Elati St,SCH WEST EARLY COLLEGE HS -,In Service,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0236535,Fight,2,2019,4/16/2019 9:29,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0241492,Mental Health,2,2019,4/18/2019 9:02,951 N Elati St,SCH West High School - Box 4105,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0253671,Nature Unknown,2,2019,4/23/2019 18:00,951 N Elati St,IFO WEST HIGH SCH,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0255169,Fight,2,2019,4/24/2019 11:43,951 N Elati St,SCH WEST CAREER ACADEMY HS - DPS,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0259961,Fight,2,2019,4/26/2019 10:39,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0370734,EMS request PD,2,2019,6/13/2019 23:57,951 N Elati St,SCH West High School,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0446483,Assault  IP-JO,2,2019,7/16/2019 17:59,951 N Elati St,SCH West High School FOOTBALL FIELD,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0504530,EMS request PD,2,2019,8/10/2019 11:56,951 N Elati St,West High School - FOOTBALL FIELD,No Police Needed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0504844,Threats IP-JO,2,2019,8/10/2019 15:01,951 N Elati St,WEST HIGH SCHOOL - FAR WEST SIDE OF STADIUM,No Police Needed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0508528,Harassment IP-JO,2,2019,8/12/2019 7:39,951 N Elati St,WEST LEADERSHIP ACADEMY MS - DPS,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0585739,EMS request PD,2,2019,9/13/2019 12:24,951 N Elati St,SCH West High School,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0597437,Mental Health,2,2019,9/18/2019 11:00,951 N Elati St,SCH West High School - Box 4105,In Service,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0602210,Mental Health,2,2019,9/20/2019 9:14,951 N Elati St,SCH West High School - Box 4105,CIT Report,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0626093,Fight,2,2019,9/30/2019 10:31,951 N Elati St,SCH West High Schoo,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0628903,Fight,2,2019,10/1/2019 13:08,951 N Elati St,SCH West High School - Box 4105,File Only,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0633276,Fight,2,2019,10/3/2019 10:26,951 N Elati St,SCH West High School - Box 4105,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0660353,Fight,2,2019,10/15/2019 13:06,951 N Elati St,WEST LEADERSHIP ACADEMY HS,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0665273,Fight,2,2019,10/17/2019 13:01,951 N Elati St,SCH WEST EARLY COLLEGE HS - DPS,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0710329,Fight,2,2019,11/7/2019 13:00,951 N Elati St,SCH WEST EARLY COLLEGE HS - DPS,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0725480,Fight,2,2019,11/14/2019 11:01,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0725614,Fight,2,2019,11/14/2019 11:46,951 N Elati St,SCH WEST LEADERSHIP ACADEMY HS - DPS,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0728089,Fight,2,2019,11/15/2019 12:41,951 N Elati St,SCH West High School - Box 4105,K - Street Check Completed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0743194,Fight,2,2019,11/22/2019 14:46,951 N Elati St,SCH WEST LEADERSHIP ACADEMY HS - DPS,File Only,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0783456,Fight,2,2019,12/12/2019 12:51,951 N Elati St,SCH WEST LEADERSHIP ACADEMY MS - DPS,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0059443,Fight,2,2020,1/27/2020 10:08,951 N Elati St,SCH WEST EARLY COLLEGE HS - DPS,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0061981,Fight,2,2020,1/28/2020 12:24,951 N Elati St,SCH WEST EARLY COLLEGE MS - DPS,File Only,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0090873,Fight,2,2020,2/11/2020 9:41,951 N Elati St,SCH WEST CAREER ACADEMY HS - DPS,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0093469,Fight,2,2020,2/12/2020 13:13,951 N Elati St,SCH WEST LEADERSHIP ACADEMY MS - DPS,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0113557,Fight,2,2020,2/21/2020 17:35,951 N Elati St,SCH WEST LEADERSHIP ACADEMY HS - DPS,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0122373,Fight,2,2020,2/25/2020 20:40,951 N Elati St,,K - Street Check Completed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0128693,Fight,2,2020,2/28/2020 12:23,951 N Elati St,SCH WEST EARLY COLLEGE HS - DPS,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0605710,Threats IP-JO,2,2020,10/10/2020 9:12,951 N Elati St,SCH West High School - BY GARBAGE HANDS,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0372013,Assault  IP-JO,2,2021,6/30/2021 19:44,951 N Elati St,West High School,UTL / Unfounded / Unsuccessful,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0470180,EMS request PD,2,2021,8/16/2021 18:56,951 N Elati St,W 10th Ave / N Galapago St,No Police Needed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0490364,Disturbance Family,2,2021,8/26/2021 12:51,951 N Elati St,DENVER WEST,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0499216,Assault  IP-JO,2,2021,8/30/2021 14:15,951 N Elati St,West High School,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0583923,Harassment IP-JO,2,2021,10/11/2021 19:11,951 N Elati St,WEST HIGH SCHOOL,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0642643,Disturbance Family,2,2021,11/12/2021 10:12,951 N Elati St,SCH WEST LEADERSHIP ACADEMY MIDDLE,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0647889,Nature Unknown,2,2021,11/15/2021 8:06,951 N Elati St,WEST EARLY COLLEGE HS - DPS,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0699768,Weapon / Concealed Weapon,2,2021,12/13/2021 16:05,951 N Elati St,SCH West High School - Box 4105,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0040131,Nature Unknown,2,2022,1/25/2022 3:37,951 N Elati St,WEST HS   ON  ELATI  BY THE BASEBALL,No Police Needed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0053139,Fight,2,2022,2/1/2022 12:26,951 N Elati St,West High School,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0077308,EMS request PD,2,2022,2/14/2022 17:01,951 N Elati St,SCH West High School,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0210321,Assault  IP-JO,2,2022,4/27/2022 20:59,951 N Elati St,SCH West High School -- PARKING LOT NEAR SOCCER FIELD,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0211380,911 Open,2,2022,4/28/2022 12:24,951 N Elati St,SCH WEST CAREER ACADEMY HS - DPS,No Police Needed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0245895,Weapon / Concealed Weapon,2,2022,5/16/2022 14:57,951 N Elati St,,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0260865,Slumper - Person in Vehicle,2,2022,5/24/2022 14:53,951 N Elati St,PLOT,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0266356,Arson,2,2022,5/27/2022 11:47,951 N Elati St,SCH West High School - Box 4105,File Only,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0473559,Harassment IP-JO,2,2022,9/13/2022 16:26,951 N Elati St,SCH West High School - Box 4105,No Police Needed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0486063,Assault  IP-JO,2,2022,9/20/2022 13:41,951 N Elati St,WEST MIDDLE SCHOOL,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0517030,Disturbance Family,2,2022,10/6/2022 17:04,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0539679,Nature Unknown,2,2022,10/18/2022 16:00,951 N Elati St,SCH West High School,UTL / Unfounded / Unsuccessful,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0634261,Fight,2,2022,12/11/2022 11:21,951 N Elati St,West High School,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-23-0121749,Disturbance Family,2,2023,3/8/2023 14:26,951 N Elati St,SCH West High School - IFO,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0083869,Weapon / Concealed Weapon,1,2018,2/4/2018 16:38,951 N Elati St,West High School,Arrest Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0090846,Suicidal Person / Suicide,1,2018,2/7/2018 12:56,951 N Elati St,SCH WEST EARLY COLLEGE MS - DPS,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0168325,Child Abuse/Neglect IP-JO,1,2018,3/12/2018 15:23,951 N Elati St,SCH West High School,"Supervisor Cancelled Inc,Y - B",West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0215510,Weapon / Concealed Weapon,1,2018,4/1/2018 12:49,951 N Elati St,SCH West High School,No Police Needed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0589209,Burglary  IP-JO,1,2018,8/28/2018 22:08,951 N Elati St,WEST HIGH SCHOOL,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0740377,MPER - Lost Child,1,2018,10/29/2018 16:41,951 N Elati St,SCH West High School - Box 4105,K - Street Check Completed,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-18-0766065,Suicidal Person / Suicide,1,2018,11/9/2018 14:52,951 N Elati St,SCH WEST EARLY COLLEGE MS - DPS,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0104016,Suicidal Person / Suicide,1,2019,2/15/2019 15:27,951 N Elati St,WEST EARLY COLLEGE HS -- OUTSIDE LOC,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0132341,Weapon / Concealed Weapon,1,2019,2/28/2019 15:36,951 N Elati St,SCH West High School - Box 4105,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0285651,Suicidal Person / Suicide,1,2019,5/7/2019 8:59,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0615627,Suicidal Person / Suicide,1,2019,9/25/2019 23:16,951 N Elati St,,UTL / Unfounded / Unsuccessful,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-19-0793366,Weapon / Concealed Weapon,1,2019,12/17/2019 8:41,951 N Elati St,SCH West High School - Box 4105,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0135377,Weapon / Concealed Weapon,1,2020,3/2/2020 13:22,951 N Elati St,SCH WEST LEADERSHIP ACADEMY HS - DPS,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0249188,Burglary  IP-JO,1,2020,4/24/2020 16:28,951 N Elati St,SCH West High School,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-20-0353455,Burglary  IP-JO,1,2020,6/9/2020 4:03,951 N Elati St,WEST HIGH SCHOOL,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0507556,Suicidal Person / Suicide,1,2021,9/3/2021 10:55,951 N Elati St,SCH West High School - Box 4105,Back Up / Cover Car,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-21-0704978,Robbery IP-JO,1,2021,12/16/2021 12:38,951 N Elati St,West High School,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-23-0000090,Shot Spotter,1,2023,1/1/2023 0:18,951 N Elati St,,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-23-0000102,Shot Spotter,1,2023,1/1/2023 0:21,951 N Elati St,,Report Made,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-23-0119840,Suicidal Person / Suicide,1,2023,3/7/2023 14:57,951 N Elati St,SCH West High School - Box 4105,Party Advised,West Early HS,West Early College,HIGH SCHOOL,9,PS2,951 ELATI ST
DPD-22-0079548,Help,0,2022,2/15/2022 21:24,3950 S Holly St,SCH Thomas Jefferson High School - Box 2104,Back Up / Cover Car,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-22-0466080,Help,0,2022,9/9/2022 15:23,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,No Police Needed,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-18-0073295,Disturbance Family,2,2018,1/31/2018 7:27,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,Party Advised,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-18-0470635,Assault  IP-JO,2,2018,7/12/2018 7:28,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,Party Advised,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-18-0835653,Fight,2,2018,12/11/2018 9:01,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,Arrest Made,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-19-0105829,F9 With Fire,2,2019,2/16/2019 12:30,3950 S Holly St,SCH Thomas Jefferson High School - Box 2104,No Police Needed,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-19-0143296,Nature Unknown,2,2019,3/5/2019 19:25,3950 S HOLLY ST,SCH THOMAS JEFFERSON HS - DPS,Back Up / Cover Car,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-19-0307571,Criminal Mischief IP-JO,2,2019,5/16/2019 23:09,3950 S Holly St,IFO THOMAS JEFFERSON HS - DPS,Party Advised,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-19-0396057,Threats IP-JO,2,2019,6/25/2019 12:12,3950 S Holly St,Thomas Jefferson High School,Party Advised,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-19-0581088,Fight,2,2019,9/11/2019 14:56,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,Report Made,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-20-0153527,E 25 Psych/Ab Beh/Suicide Att,2,2020,3/10/2020 14:28,3950 S Holly St,THOMAS JEFFERSON HS - DPS,Party Advised,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-21-0311199,911 Open,2,2021,6/2/2021 9:31,3950 S Holly St,SCH Thomas Jefferson High School - Box 2104,No Police Needed,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-21-0486250,911 Open,2,2021,8/24/2021 14:36,3900-3950 S Holly St,,File Only,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-21-0490120,Threats IP-JO,2,2021,8/26/2021 10:33,3950 S Holly St,SCH Thomas Jefferson High School - Box 2104,UTL / Unfounded / Unsuccessful,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-21-0505613,MPER - Endangered/WalkAway/Esc,2,2021,9/2/2021 13:51,3950 S Holly St,Thomas Jefferson High School,No Police Needed,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-21-0539291,EMS request PD,2,2021,9/18/2021 23:13,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,No Police Needed,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-21-0677518,EMS request PD,2,2021,12/1/2021 14:26,3950 S Holly St,THOMAS JEFFERSON HS - DPS,In Service,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-21-0690106,Threats IP-JO,2,2021,12/8/2021 9:16,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,Party Advised,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-22-0079549,Weapon / Concealed Weapon,2,2022,2/15/2022 21:25,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,File Only,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-22-0140747,911 Open,2,2022,3/22/2022 7:20,3900-3950 S Holly St,,No Police Needed,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-22-0179243,Weapon / Concealed Weapon,2,2022,4/11/2022 14:21,3950 S Holly St,Thomas Jefferson High School,UTL / Unfounded / Unsuccessful,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-22-0319254,Fight,2,2022,6/24/2022 7:23,3950 S HOLLY ST,SCH Thomas Jefferson High School - Box 2104,UTL / Unfounded / Unsuccessful,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-22-0475165,Fight,2,2022,9/14/2022 15:00,3950 S Holly St,SCH Thomas Jefferson High School - Box 2104,No Police Needed,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-22-0569445,Assault  IP-JO,2,2022,11/3/2022 14:23,3950 S Holly St,SCH Thomas Jefferson High School - Box 2104,Back Up / Cover Car,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-22-0569514,Assault  IP-JO,2,2022,11/3/2022 15:01,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,Back Up / Cover Car,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-23-0007806,EMS request PD,2,2023,1/5/2023 13:27,3950 S Holly St,SCH Thomas Jefferson High School,No Police Needed,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-23-0017011,Weapon / Concealed Weapon,2,2023,1/10/2023 14:57,3950 S Holly St,SCH THOMAS JEFFERSON HS,Report Made,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-18-0821655,Weapon / Concealed Weapon,1,2018,12/5/2018 9:33,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,Arrest Made,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-18-0838587,Weapon / Concealed Weapon,1,2018,12/12/2018 11:59,3950 S Holly St,SCH Thomas Jefferson High School - Box 2104,Arrest Made,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-19-0267822,Weapon / Concealed Weapon,1,2019,4/29/2019 19:36,3950 S Holly St,SCH Thomas Jefferson High School - Box 2104,Report Made,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-20-0408275,Burglary  IP-JO,1,2020,7/4/2020 23:01,3950 S Holly St,SCH THOMAS JEFFERSON HS - DPS,Party Advised,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-21-0238755,Suicidal Person / Suicide,1,2021,4/28/2021 12:30,3950 S Holly St,SCH Thomas Jefferson High School - Box 2104,Back Up / Cover Car,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-21-0505569,Suicidal Person / Suicide,1,2021,9/2/2021 13:42,3950 S Holly St,MAIN OFFICE - Thomas Jefferson HS,Back Up / Cover Car,Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
DPD-22-0209613,Kidnap IP-JO,1,2022,4/27/2022 14:21,3950 S Holly St,SCH Thomas Jefferson High School,"Arrest Made,Evidence / Propert",Thomas Jefferson,Thomas Jefferson High School,HIGH SCHOOL,9,12,3950 S HOLLY ST
